"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","424","testDimensionRule","","Tue Apr 21 13:47:35 UTC 2026","passed","Tue Apr 21 13:47:36 UTC 2026","","eu.esdihumboldt.hale.io.schematron.SchematronInstanceValidatorTest","eu.esdihumboldt.hale.io.schematron.SchematronInstanceValidatorTest","testDimensionRule"
"","50","testLoadChoice2","","Tue Apr 21 13:44:52 UTC 2026","passed","Tue Apr 21 13:44:52 UTC 2026","","eu.esdihumboldt.hale.io.gml.reader.internal.GmlInstanceCollectionTest","eu.esdihumboldt.hale.io.gml.reader.internal.GmlInstanceCollectionTest","testLoadChoice2"
"","34","testSinglePolyGeometryWithLongAlphanumericNamesWithMultipleInstancesWithMissingData","","Tue Apr 21 13:48:03 UTC 2026","passed","Tue Apr 21 13:48:03 UTC 2026","","eu.esdihumboldt.hale.io.shp.ShapefileInstanceWriterTest","eu.esdihumboldt.hale.io.shp.ShapefileInstanceWriterTest","testSinglePolyGeometryWithLongAlphanumericNamesWithMultipleInstancesWithMissingData"
"","4","testDefaultPropertyTypes","","Tue Apr 21 13:43:17 UTC 2026","passed","Tue Apr 21 13:43:17 UTC 2026","","eu.esdihumboldt.hale.common.schema.groovy.SchemaBuilderTest","eu.esdihumboldt.hale.common.schema.groovy.SchemaBuilderTest","testDefaultPropertyTypes"
"","22","testRead_shiporder_types","","Tue Apr 21 13:48:33 UTC 2026","passed","Tue Apr 21 13:48:33 UTC 2026","","eu.esdihumboldt.hale.io.xsd.reader.XmlSchemaReaderTest","eu.esdihumboldt.hale.io.xsd.reader.XmlSchemaReaderTest","testRead_shiporder_types"
"","52","testBaseNameFromFile","","Tue Apr 21 13:47:49 UTC 2026","passed","Tue Apr 21 13:47:49 UTC 2026","","eu.esdihumboldt.hale.io.shp.ShapeInstanceReaderTest","eu.esdihumboldt.hale.io.shp.ShapeInstanceReaderTest","testBaseNameFromFile"
"","47","testNamespaceIndexChildContextType","","Tue Apr 21 13:42:11 UTC 2026","passed","Tue Apr 21 13:42:11 UTC 2026","","eu.esdihumboldt.hale.common.align.groovy.accessor.EntityAccessorTest","eu.esdihumboldt.hale.common.align.groovy.accessor.EntityAccessorTest","testNamespaceIndexChildContextType"
"","66","testDefaultSrs","","Tue Apr 21 13:45:26 UTC 2026","passed","Tue Apr 21 13:45:26 UTC 2026","","eu.esdihumboldt.hale.io.gml.reader.internal.StreamGmlReaderTest","eu.esdihumboldt.hale.io.gml.reader.internal.StreamGmlReaderTest","testDefaultSrs"
"","1","testFootprint","","Tue Apr 21 13:44:03 UTC 2026","passed","Tue Apr 21 13:44:03 UTC 2026","","eu.esdihumboldt.cst.functions.geometric.test.InteriorPointTest","eu.esdihumboldt.cst.functions.geometric.test.InteriorPointTest","testFootprint"
"","4","testSimpleSingleLax","","Tue Apr 21 13:43:17 UTC 2026","passed","Tue Apr 21 13:43:17 UTC 2026","","eu.esdihumboldt.hale.common.schema.groovy.DefinitionAccessorTest","eu.esdihumboldt.hale.common.schema.groovy.DefinitionAccessorTest","testSimpleSingleLax"
"","2","failTest2","","Tue Apr 21 13:44:26 UTC 2026","passed","Tue Apr 21 13:44:26 UTC 2026","","eu.esdihumboldt.hale.io.csv.CSVSchemaReaderTest","eu.esdihumboldt.hale.io.csv.CSVSchemaReaderTest","failTest2"
"","21","testRead_definitive_annotated","","Tue Apr 21 13:48:33 UTC 2026","passed","Tue Apr 21 13:48:33 UTC 2026","","eu.esdihumboldt.hale.io.xsd.reader.XmlSchemaReaderTest","eu.esdihumboldt.hale.io.xsd.reader.XmlSchemaReaderTest","testRead_definitive_annotated"
"","648","testGroovy1","","Tue Apr 21 13:43:44 UTC 2026","passed","Tue Apr 21 13:43:44 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testGroovy1"
"","0","testLoadShiporderCQL","","Tue Apr 21 13:42:43 UTC 2026","skipped","Tue Apr 21 13:42:43 UTC 2026","","eu.esdihumboldt.hale.common.filter.FilterTest","eu.esdihumboldt.hale.common.filter.FilterTest","testLoadShiporderCQL"
"","52","testPreparedQuery","","Tue Apr 21 13:48:57 UTC 2026","passed","Tue Apr 21 13:48:57 UTC 2026","","eu.esdihumboldt.util.orient.embedded.MemoryDocumentTest","eu.esdihumboldt.util.orient.embedded.MemoryDocumentTest","testPreparedQuery"
"","241","testNesting","","Tue Apr 21 13:42:11 UTC 2026","passed","Tue Apr 21 13:42:11 UTC 2026","","eu.esdihumboldt.hale.common.align.groovy.accessor.EntityAccessorTest","eu.esdihumboldt.hale.common.align.groovy.accessor.EntityAccessorTest","testNesting"
"","1","testDefault","","Tue Apr 21 13:43:13 UTC 2026","passed","Tue Apr 21 13:43:13 UTC 2026","","eu.esdihumboldt.hale.common.schema.model.constraint.factory.property.UniqueConstraintFactoryTest","eu.esdihumboldt.hale.common.schema.model.constraint.factory.property.UniqueConstraintFactoryTest","testDefault"
"","162","testTypeFilter3","","Tue Apr 21 13:42:20 UTC 2026","passed","Tue Apr 21 13:42:21 UTC 2026","","eu.esdihumboldt.hale.common.align.merge.test.impl.DefaultMergeCellMigratorTest","eu.esdihumboldt.hale.common.align.merge.test.impl.DefaultMergeCellMigratorTest","testTypeFilter3"
"","4300","testGroovyContextFilterExclusionForHydro","","Tue Apr 21 13:41:01 UTC 2026","passed","Tue Apr 21 13:41:05 UTC 2026","","eu.esdihumboldt.hale.app.transform.test.ExecuteTest","eu.esdihumboldt.hale.app.transform.test.ExecuteTest","testGroovyContextFilterExclusionForHydro"
"","1","testSample1","","Tue Apr 21 13:48:45 UTC 2026","passed","Tue Apr 21 13:48:45 UTC 2026","","eu.esdihumboldt.util.geometry.interpolation.grid.GridUtilTest","eu.esdihumboldt.util.geometry.interpolation.grid.GridUtilTest","testSample1"
"","8","testNumberString","","Tue Apr 21 13:42:41 UTC 2026","passed","Tue Apr 21 13:42:41 UTC 2026","","eu.esdihumboldt.hale.common.filter.CQLFilterTest","eu.esdihumboldt.hale.common.filter.CQLFilterTest","testNumberString"
"","3579","testWriteTopoJson","","Tue Apr 21 13:48:07 UTC 2026","passed","Tue Apr 21 13:48:11 UTC 2026","","eu.esdihumboldt.hale.io.topojson.test.TopoJsonInstanceWriterTest","eu.esdihumboldt.hale.io.topojson.test.TopoJsonInstanceWriterTest","testWriteTopoJson"
"","14","testComplexInstancesCQL","","Tue Apr 21 13:42:43 UTC 2026","passed","Tue Apr 21 13:42:44 UTC 2026","","eu.esdihumboldt.hale.common.filter.FilterTest","eu.esdihumboldt.hale.common.filter.FilterTest","testComplexInstancesCQL"
"","71","testReadMultiSheetDetectType","","Tue Apr 21 13:48:25 UTC 2026","passed","Tue Apr 21 13:48:25 UTC 2026","","eu.esdihumboldt.hale.io.xls.test.reader.XLSReaderTest","eu.esdihumboldt.hale.io.xls.test.reader.XLSReaderTest","testReadMultiSheetDetectType"
"","462","testReadXsdInstancesResultPrefix1","","Tue Apr 21 13:47:57 UTC 2026","passed","Tue Apr 21 13:47:58 UTC 2026","","eu.esdihumboldt.hale.io.shp.ShapeInstanceReaderTest","eu.esdihumboldt.hale.io.shp.ShapeInstanceReaderTest","testReadXsdInstancesResultPrefix1"
"","0","testLoadShiporderECQL","","Tue Apr 21 13:42:43 UTC 2026","skipped","Tue Apr 21 13:42:43 UTC 2026","","eu.esdihumboldt.hale.common.filter.FilterTest","eu.esdihumboldt.hale.common.filter.FilterTest","testLoadShiporderECQL"
"","0","testGeometry_2_MultiPoint","","Tue Apr 21 13:45:43 UTC 2026","skipped","Tue Apr 21 13:45:43 UTC 2026","","eu.esdihumboldt.hale.io.gml.writer.internal.StreamGmlWriterTest","eu.esdihumboldt.hale.io.gml.writer.internal.StreamGmlWriterTest","testGeometry_2_MultiPoint"
"","847","testWriteRead","","Tue Apr 21 13:43:57 UTC 2026","passed","Tue Apr 21 13:43:58 UTC 2026","","eu.esdihumboldt.cst.functions.custom.test.internal.DefaultCustomPropertyFunctionTypeTest","eu.esdihumboldt.cst.functions.custom.test.internal.DefaultCustomPropertyFunctionTypeTest","testWriteRead"
"","129","testThread","","Tue Apr 21 13:48:57 UTC 2026","passed","Tue Apr 21 13:48:57 UTC 2026","","eu.esdihumboldt.util.orient.embedded.LocalDocumentTest","eu.esdihumboldt.util.orient.embedded.LocalDocumentTest","testThread"
"","22","testReadSimple","","Tue Apr 21 13:48:25 UTC 2026","passed","Tue Apr 21 13:48:25 UTC 2026","","eu.esdihumboldt.hale.io.xls.test.reader.XLSReaderTest","eu.esdihumboldt.hale.io.xls.test.reader.XLSReaderTest","testReadSimple"
"","0","testOrigin","","Tue Apr 21 13:48:45 UTC 2026","passed","Tue Apr 21 13:48:45 UTC 2026","","eu.esdihumboldt.util.geometry.interpolation.grid.GridUtilTest","eu.esdihumboldt.util.geometry.interpolation.grid.GridUtilTest","testOrigin"
"","3","testJsonBuilderConstructor","","Tue Apr 21 13:48:49 UTC 2026","passed","Tue Apr 21 13:48:49 UTC 2026","","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","testJsonBuilderConstructor"
"","2","testStraight","","Tue Apr 21 13:48:45 UTC 2026","passed","Tue Apr 21 13:48:45 UTC 2026","","eu.esdihumboldt.util.geometry.interpolation.model.impl.ArcByPointsImplTest","eu.esdihumboldt.util.geometry.interpolation.model.impl.ArcByPointsImplTest","testStraight"
"","2","testEmptyObject","","Tue Apr 21 13:48:49 UTC 2026","passed","Tue Apr 21 13:48:49 UTC 2026","","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","testEmptyObject"
"","1","testDisabled","","Tue Apr 21 13:43:13 UTC 2026","passed","Tue Apr 21 13:43:13 UTC 2026","","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.AugmentedValueFlagFactoryTest","eu.esdihumboldt.hale.common.schema.model.constraint.factory.type.AugmentedValueFlagFactoryTest","testDisabled"
"","97","testPriority","","Tue Apr 21 13:43:52 UTC 2026","passed","Tue Apr 21 13:43:52 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testPriority"
"","159","testGroovyWarningRetypeTarget","","Tue Apr 21 13:42:22 UTC 2026","passed","Tue Apr 21 13:42:22 UTC 2026","","eu.esdihumboldt.hale.common.align.merge.test.impl.DefaultMergeCellMigratorTest","eu.esdihumboldt.hale.common.align.merge.test.impl.DefaultMergeCellMigratorTest","testGroovyWarningRetypeTarget"
"","4","testConsumeMap","","Tue Apr 21 13:44:10 UTC 2026","passed","Tue Apr 21 13:44:10 UTC 2026","","eu.esdihumboldt.cst.functions.groovy.helpers.util.CollectorTest","eu.esdihumboldt.cst.functions.groovy.helpers.util.CollectorTest","testConsumeMap"
"","6","testSimpleAll","","Tue Apr 21 13:43:17 UTC 2026","passed","Tue Apr 21 13:43:17 UTC 2026","","eu.esdihumboldt.hale.common.schema.groovy.DefinitionAccessorTest","eu.esdihumboldt.hale.common.schema.groovy.DefinitionAccessorTest","testSimpleAll"
"","1306","testWriteNotNestedProperties","","Tue Apr 21 13:48:26 UTC 2026","passed","Tue Apr 21 13:48:27 UTC 2026","","eu.esdihumboldt.hale.io.xls.test.writer.XLSInstanceWriterTest","eu.esdihumboldt.hale.io.xls.test.writer.XLSInstanceWriterTest","testWriteNotNestedProperties"
"","101","testNullValue","","Tue Apr 21 13:43:54 UTC 2026","passed","Tue Apr 21 13:43:54 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testNullValue"
"","1","testInstanceNoValueExistsSchema","","Tue Apr 21 13:42:41 UTC 2026","skipped","Tue Apr 21 13:42:41 UTC 2026","","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","testInstanceNoValueExistsSchema"
"","2907","testTypeFilter2Property","","Tue Apr 21 13:42:15 UTC 2026","passed","Tue Apr 21 13:42:18 UTC 2026","","eu.esdihumboldt.hale.common.align.merge.test.impl.DefaultMergeCellMigratorTest","eu.esdihumboldt.hale.common.align.merge.test.impl.DefaultMergeCellMigratorTest","testTypeFilter2Property"
"","455","testNestingAll","","Tue Apr 21 13:43:17 UTC 2026","passed","Tue Apr 21 13:43:17 UTC 2026","","eu.esdihumboldt.hale.common.schema.groovy.DefinitionAccessorTest","eu.esdihumboldt.hale.common.schema.groovy.DefinitionAccessorTest","testNestingAll"
"","252","testPropertyJoinNonMatchingTypes","","Tue Apr 21 13:43:43 UTC 2026","passed","Tue Apr 21 13:43:44 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testPropertyJoinNonMatchingTypes"
"","1","testFootprint2Hole","","Tue Apr 21 13:44:03 UTC 2026","passed","Tue Apr 21 13:44:03 UTC 2026","","eu.esdihumboldt.cst.functions.geometric.test.InteriorPointTest","eu.esdihumboldt.cst.functions.geometric.test.InteriorPointTest","testFootprint2Hole"
"","16","testNullMixed","","Tue Apr 21 13:42:59 UTC 2026","passed","Tue Apr 21 13:42:59 UTC 2026","","eu.esdihumboldt.hale.common.instance.groovy.InstanceAccessorTest","eu.esdihumboldt.hale.common.instance.groovy.InstanceAccessorTest","testNullMixed"
"","11","testReadFeatureCollection","","Tue Apr 21 13:47:27 UTC 2026","passed","Tue Apr 21 13:47:27 UTC 2026","","eu.esdihumboldt.hale.io.json.test.JsonInstanceCollectionTest","eu.esdihumboldt.hale.io.json.test.JsonInstanceCollectionTest","testReadFeatureCollection"
"","1051","testMerge","","Tue Apr 21 13:43:41 UTC 2026","passed","Tue Apr 21 13:43:43 UTC 2026","","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","eu.esdihumboldt.cst.internal.ConceptualSchemaTransformerTest","testMerge"
"","4","testTimeEquals","","Tue Apr 21 13:42:41 UTC 2026","passed","Tue Apr 21 13:42:41 UTC 2026","","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","testTimeEquals"
"","3","testSchemaLessInstance","","Tue Apr 21 13:42:59 UTC 2026","passed","Tue Apr 21 13:42:59 UTC 2026","","eu.esdihumboldt.hale.common.instance.groovy.InstanceBuilderTest","eu.esdihumboldt.hale.common.instance.groovy.InstanceBuilderTest","testSchemaLessInstance"
"","2","testNestedKey","","Tue Apr 21 13:48:40 UTC 2026","passed","Tue Apr 21 13:48:40 UTC 2026","","eu.esdihumboldt.util.config.ConfigTest","eu.esdihumboldt.util.config.ConfigTest","testNestedKey"
"","6","testGeoBboxList","","Tue Apr 21 13:42:41 UTC 2026","passed","Tue Apr 21 13:42:41 UTC 2026","","eu.esdihumboldt.hale.common.filter.CQLFilterTest","eu.esdihumboldt.hale.common.filter.CQLFilterTest","testGeoBboxList"
"","4","testBefore","","Tue Apr 21 13:42:41 UTC 2026","passed","Tue Apr 21 13:42:41 UTC 2026","","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","testBefore"
"","3","testGeoContains","","Tue Apr 21 13:42:41 UTC 2026","passed","Tue Apr 21 13:42:41 UTC 2026","","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","eu.esdihumboldt.hale.common.filter.ECQLFilterTest","testGeoContains"
"","6","testMerge2","","Tue Apr 21 13:42:36 UTC 2026","passed","Tue Apr 21 13:42:36 UTC 2026","","eu.esdihumboldt.hale.common.core.report.util.StatsMergeTest","eu.esdihumboldt.hale.common.core.report.util.StatsMergeTest","testMerge2"
