"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Import and export formats","0","xsd","29","0","","0"
"0","Common libraries","0","referencing","1","0","","0"
"0","Import and export formats","0","jdbc.postgresql","12","0","PostgreSQL","0"
"0","Import and export formats","0","Databases","12","0","PostgreSQL","0"
"0","Common libraries","0","schema","56","0","","0"
"0","Common libraries","0","align.merge","37","0","","0"
"0","Command line applications","0","transform","20","1","","0"
"0","Utilities","0","groovy","40","0","","0"
"0","Import and export formats","0","Excel","19","0","","0"
"0","Utilities","0","geometry","44","0","Arcs","0"
"0","Utilities","0","Geometries","44","0","Arcs","0"
"0","Import and export formats","0","jdbc.msaccess","2","1","MS Access","0"
"0","Import and export formats","0","Databases","2","1","MS Access","0"
"0","Conceptual Schema Transformer","0","functions.geometric","24","0","","0"
"0","Common libraries","0","instance","9","0","","0"
"0","Common libraries","0","align.groovy","7","0","","0"
"0","Common libraries","0","filter","80","22","","0"
"0","Import and export formats","0","gml","49","11","","0"
"0","Import and export formats","0","json","46","1","","0"
"0","Import and export formats","0","csv","15","0","","0"
"0","Utilities","0","config","10","0","","0"
"0","Common libraries","0","schema.groovy","26","0","","0"
"0","Common libraries","0","align","11","2","","0"
"0","Import and export formats","0","codelist.skos","9","0","","0"
"0","Conceptual Schema Transformer","0","cst","56","12","","0"
"0","Import and export formats","0","shp","33","0","","0"
"0","Import and export formats","0","pb","1","0","","0"
"0","Conceptual Schema Transformer","0","functions.groovy.helpers","9","0","","0"
"0","Utilities","0","geometry","30","0","","0"
"0","Common libraries","0","instance.graph","9","0","","0"
"0","Import and export formats","0","jdbc.spatialite","6","0","SpatiaLite","0"
"0","Import and export formats","0","Databases","6","0","SpatiaLite","0"
"0","Common libraries","0","instance.groovy","11","0","","0"
"0","Utilities","0","util","2","0","","0"
"0","Common libraries","0","core","33","2","","0"
"0","Utilities","0","orient.embedded.test","10","4","","0"
"0","Import and export formats","0","jdbc.mssql","0","4","SQL Server","0"
"0","Import and export formats","0","Databases","0","4","SQL Server","0"
"0","Import and export formats","0","geopackage","15","0","","0"
"0","Import and export formats","0","html.svg","2","0","","0"
"0","Common libraries","0","instance.index","1","0","","0"
"0","Import and export formats","0","groovy","8","0","","0"
"0","Import and export formats","0","jdbc","1","0","","0"
"0","Common libraries","0","schema.persist","4","0","","0"
"0","Common libraries","0","service.helper","2","0","","0"
"0","Common libraries","0","lookup","5","0","","0"
"0","Import and export formats","0","wfs","2","0","","0"
"0","Utilities","0","groovy.sandbox","5","0","","0"
"0","Import and export formats","0","schematron","3","0","","0"
"0","Import and export formats","0","deegree","0","2","","0"
"0","Import and export formats","0","topojson","1","0","","0"
"0","Common libraries","0","cache","2","0","","0"
"0","Conceptual Schema Transformer","0","functions.custom","1","0","","0"
"0","Import and export formats","0","codelist.xml","1","0","","0"
"0","Extensions","0","adv.merge","2","0","","0"
"0","Utilities","0","blueprints.entities","0","1","","0"
"0","Common libraries","0","config","1","0","","0"
