"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Import and export formats","codelist.skos","","0","0","9","0","0"
"Command line applications","transform","","0","0","20","1","0"
"Common libraries","schema","","0","0","56","0","0"
"Common libraries","schema.groovy","","0","0","26","0","0"
"Conceptual Schema Transformer","cst","","0","0","56","12","0"
"Utilities","geometry","","0","0","30","0","0"
"Import and export formats","shp","","0","0","23","0","0"
"Conceptual Schema Transformer","functions.geometric","","0","0","24","0","0"
"Common libraries","filter","","0","0","80","22","0"
"Import and export formats","xsd","","0","0","29","0","0"
"Import and export formats","Excel","","0","0","19","0","0"
"Common libraries","align.merge","","0","0","37","0","0"
"Import and export formats","json","","0","0","46","1","0"
"Import and export formats","jdbc","","0","0","1","0","0"
"Common libraries","config","","0","0","1","0","0"
"Utilities","groovy","","0","0","40","0","0"
"Common libraries","core","","0","0","33","2","0"
"Import and export formats","csv","","0","0","15","0","0"
"Import and export formats","groovy","","0","0","8","0","0"
"Common libraries","cache","","0","0","2","0","0"
"Import and export formats","geopackage","","0","0","15","0","0"
"Utilities","geometry","Arcs","0","0","44","0","0"
"Utilities","Geometries","Arcs","0","0","44","0","0"
"Import and export formats","jdbc.spatialite","SpatiaLite","0","0","6","0","0"
"Import and export formats","Databases","SpatiaLite","0","0","6","0","0"
"Import and export formats","jdbc.postgresql","PostgreSQL","0","0","12","0","0"
"Import and export formats","Databases","PostgreSQL","0","0","12","0","0"
"Common libraries","instance","","0","0","9","0","0"
"Common libraries","instance.groovy","","0","0","11","0","0"
"Import and export formats","wfs","","0","0","2","0","0"
"Common libraries","instance.graph","","0","0","9","0","0"
"Import and export formats","gml","","0","0","38","12","0"
"Utilities","groovy.sandbox","","0","0","5","0","0"
"Extensions","adv.merge","","0","0","2","0","0"
"Import and export formats","topojson","","0","0","1","0","0"
"Utilities","config","","0","0","10","0","0"
"Common libraries","schema.persist","","0","0","4","0","0"
"Utilities","orient.embedded.test","","0","0","10","4","0"
"Import and export formats","jdbc.msaccess","MS Access","0","0","2","1","0"
"Import and export formats","Databases","MS Access","0","0","2","1","0"
"Common libraries","lookup","","0","0","5","0","0"
"Import and export formats","pb","","0","0","1","0","0"
"Conceptual Schema Transformer","functions.groovy.helpers","","0","0","9","0","0"
"Conceptual Schema Transformer","functions.custom","","0","0","1","0","0"
"Import and export formats","jdbc.mssql","SQL Server","0","0","0","4","0"
"Import and export formats","Databases","SQL Server","0","0","0","4","0"
"Common libraries","align","","0","0","11","2","0"
"Common libraries","align.groovy","","0","0","7","0","0"
"Common libraries","service.helper","","0","0","2","0","0"
"Utilities","util","","0","0","2","0","0"
"Import and export formats","deegree","","0","0","0","2","0"
"Utilities","blueprints.entities","","0","0","0","1","0"
"Import and export formats","schematron","","0","0","3","0","0"
"Import and export formats","codelist.xml","","0","0","1","0","0"
"Common libraries","referencing","","0","0","1","0","0"
"Import and export formats","html.svg","","0","0","2","0","0"
"Common libraries","instance.index","","0","0","1","0","0"
