"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","868","testParentBindung","","Fri Mar 06 13:57:32 UTC 2026","passed","Fri Mar 06 13:57:33 UTC 2026","","eu.esdihumboldt.hale.io.groovy.snippets.GroovySnippetsTest","eu.esdihumboldt.hale.io.groovy.snippets.GroovySnippetsTest","testParentBindung"
"","5","testCreateTypeIndex","","Fri Mar 06 13:56:47 UTC 2026","passed","Fri Mar 06 13:56:47 UTC 2026","","eu.esdihumboldt.hale.common.schema.groovy.SchemaBuilderTest","eu.esdihumboldt.hale.common.schema.groovy.SchemaBuilderTest","testCreateTypeIndex"
"","1150","testAppInfo","","Fri Mar 06 13:58:02 UTC 2026","passed","Fri Mar 06 13:58:03 UTC 2026","","eu.esdihumboldt.hale.io.xsd.reader.XmlSchemaReaderMoreTest","eu.esdihumboldt.hale.io.xsd.reader.XmlSchemaReaderMoreTest","testAppInfo"
"","12","testSKOSFromRDF5_language_en","","Fri Mar 06 13:57:18 UTC 2026","passed","Fri Mar 06 13:57:18 UTC 2026","","eu.esdihumboldt.hale.io.codelist.skos.test.SkosCodeListTest","eu.esdihumboldt.hale.io.codelist.skos.test.SkosCodeListTest","testSKOSFromRDF5_language_en"
"","37","testNamespaceIndexChildContextType","","Fri Mar 06 13:55:51 UTC 2026","passed","Fri Mar 06 13:55:51 UTC 2026","","eu.esdihumboldt.hale.common.align.groovy.accessor.EntityAccessorTest","eu.esdihumboldt.hale.common.align.groovy.accessor.EntityAccessorTest","testNamespaceIndexChildContextType"
"","0","testProjectSubfolder","","Fri Mar 06 13:56:23 UTC 2026","passed","Fri Mar 06 13:56:23 UTC 2026","","eu.esdihumboldt.hale.common.core.io.PathUpdateTest","eu.esdihumboldt.hale.common.core.io.PathUpdateTest","testProjectSubfolder"
"","28","testRead_shiporder_unqualified","","Fri Mar 06 13:58:04 UTC 2026","passed","Fri Mar 06 13:58:04 UTC 2026","","eu.esdihumboldt.hale.io.xsd.reader.XmlSchemaReaderTest","eu.esdihumboldt.hale.io.xsd.reader.XmlSchemaReaderTest","testRead_shiporder_unqualified"
"","3","testElementHasListOfObjects2","","Fri Mar 06 13:58:22 UTC 2026","passed","Fri Mar 06 13:58:22 UTC 2026","","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","testElementHasListOfObjects2"
"","0","testGeometryFlippedOnCRS","","Fri Mar 06 13:58:15 UTC 2026","passed","Fri Mar 06 13:58:15 UTC 2026","","eu.esdihumboldt.util.geometry.WindingOrderTest","eu.esdihumboldt.util.geometry.WindingOrderTest","testGeometryFlippedOnCRS"
"","1","testFileRelative1","","Fri Mar 06 13:58:02 UTC 2026","passed","Fri Mar 06 13:58:02 UTC 2026","","eu.esdihumboldt.hale.io.xsd.reader.HumboldtURIResolverTest","eu.esdihumboldt.hale.io.xsd.reader.HumboldtURIResolverTest","testFileRelative1"
"","20","testGroup","","Fri Mar 06 13:56:47 UTC 2026","passed","Fri Mar 06 13:56:47 UTC 2026","","eu.esdihumboldt.hale.common.schema.groovy.SchemaBuilderTest","eu.esdihumboldt.hale.common.schema.groovy.SchemaBuilderTest","testGroup"
"","1224","gstringIntercepted","","Fri Mar 06 13:58:25 UTC 2026","passed","Fri Mar 06 13:58:26 UTC 2026","","eu.esdihumboldt.util.groovy.sandbox.test.internal.GroovySandboxTest","eu.esdihumboldt.util.groovy.sandbox.test.internal.GroovySandboxTest","gstringIntercepted"
"","4","testValuePropertiesList","","Fri Mar 06 13:56:24 UTC 2026","passed","Fri Mar 06 13:56:24 UTC 2026","","eu.esdihumboldt.hale.common.core.io.impl.ValuePropertiesTypeTest","eu.esdihumboldt.hale.common.core.io.impl.ValuePropertiesTypeTest","testValuePropertiesList"
"","4","testRootArrayObjects","","Fri Mar 06 13:58:22 UTC 2026","passed","Fri Mar 06 13:58:22 UTC 2026","","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","eu.esdihumboldt.util.groovy.json.JsonStreamBuilderTest","testRootArrayObjects"
"","1","testMerge3","","Fri Mar 06 13:56:25 UTC 2026","passed","Fri Mar 06 13:56:25 UTC 2026","","eu.esdihumboldt.hale.common.core.report.util.StatsMergeTest","eu.esdihumboldt.hale.common.core.report.util.StatsMergeTest","testMerge3"
"","214","testGroovyRetypeCondition","","Fri Mar 06 13:56:06 UTC 2026","passed","Fri Mar 06 13:56:06 UTC 2026","","eu.esdihumboldt.hale.common.align.merge.test.impl.JoinFocusRetainConditionTest","eu.esdihumboldt.hale.common.align.merge.test.impl.JoinFocusRetainConditionTest","testGroovyRetypeCondition"
"","3","testElements","","Fri Mar 06 13:58:02 UTC 2026","passed","Fri Mar 06 13:58:02 UTC 2026","","eu.esdihumboldt.hale.io.xsd.anytype.valuetypes.CustomTypeContentTypeTest","eu.esdihumboldt.hale.io.xsd.anytype.valuetypes.CustomTypeContentTypeTest","testElements"
